order_id,order_date,region,sales_channel,customer_segment,category,product_name,quantity,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,cogs,ad_spend,returned,refund_amount,net_revenue_after_refunds,profit
100678,2024-01-01,British Columbia,Retail,Consumer,Body Care,Scrub,2,117.17,0.18,234.34,42.18,192.16,124.2,0.23,True,153.73,38.43,-86.0
101030,2024-01-01,Alberta,Retail,Enterprise,Body Care,Body Lotion,8,10.21,0.31,81.68,25.32,56.36,48.19,7.42,False,0.0,56.36,0.75
100757,2024-01-01,Atlantic,Retail,Consumer,Body Care,Body Wash,12,69.81,0.2,837.72,167.54,670.18,536.14,1.93,False,0.0,670.18,132.11
100850,2024-01-01,British Columbia,Online,Enterprise,Body Care,Body Wash,12,21.24,0.14,254.88,35.68,219.2,142.73,4.71,False,0.0,219.2,71.76
101166,2024-01-01,Quebec,Partner,SMB,Fragrance,Eau de Parfum,1,64.38,0.03,64.38,1.93,62.45,31.55,5.11,False,0.0,62.45,25.79
100447,2024-01-01,Atlantic,Online,Consumer,Haircare,Hair Mask,11,70.55,0.13,776.05,100.89,675.16,519.95,6.49,False,0.0,675.16,148.72
102015,2024-01-01,Manitoba,Partner,Consumer,Body Care,Scrub,9,101.17,0.04,910.53,36.42,874.11,491.69,6.91,False,0.0,874.11,375.51
100993,2024-01-01,British Columbia,Partner,Consumer,Suncare,SPF 30,4,91.17,0.16,364.68,58.35,306.33,218.81,8.48,False,0.0,306.33,79.04
100649,2024-01-01,British Columbia,Retail,Consumer,Makeup,Blush,13,42.7,0.23,555.1,127.67,427.43,310.86,5.41,False,0.0,427.43,111.16
102075,2024-01-01,Ontario,Online,Consumer,Fragrance,Eau de Toilette,4,67.71,0.08,270.84,21.67,249.17,181.46,9.74,False,0.0,249.17,57.97
101992,2024-01-01,Ontario,Partner,Enterprise,Haircare,Conditioner,3,25.27,0.08,75.81,6.06,69.75,40.94,7.88,False,0.0,69.75,20.93
101953,2024-01-02,Manitoba,Online,Consumer,Skincare,Moisturizer,4,96.82,0.13,387.28,50.35,336.93,236.24,4.09,False,0.0,336.93,96.6
101292,2024-01-02,Saskatchewan,Retail,Consumer,Makeup,Foundation,8,26.83,0.08,214.64,17.17,197.47,137.37,3.89,False,0.0,197.47,56.21
102178,2024-01-02,Manitoba,Online,SMB,Suncare,After Sun Gel,11,109.83,0.07,1208.13,84.57,1123.56,628.23,0.46,False,0.0,1123.56,494.87
100263,2024-01-02,Alberta,Retail,Enterprise,Skincare,Cleanser,1,113.35,0.19,113.35,21.54,91.81,64.61,7.81,False,0.0,91.81,19.39
100063,2024-01-02,Saskatchewan,Retail,Enterprise,Skincare,Moisturizer,8,30.14,0.2,241.12,48.22,192.9,161.55,2.48,False,0.0,192.9,28.87
102917,2024-01-02,Quebec,Retail,SMB,Haircare,Hair Mask,4,38.09,0.04,152.36,6.09,146.27,85.32,9.13,False,0.0,146.27,51.82
101828,2024-01-02,Manitoba,Retail,Enterprise,Makeup,Blush,9,60.52,0.0,544.68,0.0,544.68,272.34,1.69,False,0.0,544.68,270.65
100206,2024-01-02,British Columbia,Partner,SMB,Body Care,Body Wash,13,57.75,0.0,750.75,0.0,750.75,397.9,7.04,False,0.0,750.75,345.81
